model_id,epoch,checkpoint_path,arch,arch_family,is_latest,checkpoint_url
adv_resnet101_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_300_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_300_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_300_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_30_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_30_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_30_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_3_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_3_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_3_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet101_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet101_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet101,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet101_imagenet_full_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet152_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet152_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet152,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet152_imagenet_100_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet152_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet152_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet152,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet152_imagenet_10_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
adv_resnet152_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0,10,adv_resnet152_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt,resnet152,ResNet,True,https://epfl-neuroailab-scalinglaws.s3.eu-north-1.amazonaws.com/checkpoints/adv_resnet152_imagenet_1_ffgsm_eps-1_alpha-125-ep10_seed-0/ep10.pt
